Suburb,Area,Frequency,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SD01,SD02,SD03,SD04,SD05,SD06,SD07,SD08,SD09,SD10,SD11,SD12,SD13,SD14,SD15,SD16,SD17,SD18,SD19,SD20,SD21,SD22,SD23
Mt Roskill,Auckland,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Naenae,Wellington,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Napier Area,Palmerston,Fortnightly,FALSE,TRUE,FALSE,FALSE,FALSE,30.08.22,13.09.22,27.09.22,11.10.22,25.10.22,8.11.22,22.11.22,6.12.22,20.12.22,3.01.23,17.01.23,31.01.23,14.02.23,28.02.23,14.03.23,28.03.23,11.04.23,25.04.23,9.05.23,23.05.23,6.06.23,20.06.23,4.07.23
New Plymouth,Palmerston,Weekly,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Newlands,Wellington,Weekly,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Newmarket,Auckland,Weekly,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Newstead,Waikato/Hamilton,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Newtown,Wellington,Weekly,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Ngaruawahia,Auckland,4 Weekly,FALSE,FALSE,FALSE,TRUE,FALSE,18.08.22,15.09.22,29.09.22,13.10.22,27.10.22,10.11.22,24.11.22,8.12.22,22.12.22,5.01.23,19.01.23,2.02.23,16.02.23,2.03.23,16.03.23,30.03.23,13.04.23,27.04.23,11.05.23,25.05.23,8.06.23,22.06.23,6.07.23
Northland,Wellington,Weekly,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Northshore,Auckland,Weekly,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Oakura,Palmerston,Weekly,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Ohakea,Palmerston,Fortnightly,FALSE,TRUE,FALSE,FALSE,FALSE,23.08.22,6.09.22,20.09.22,4.10.22,18.10.22,1.11.22,15.11.22,29.11.22,13.12.22,27.12.22,10.01.23,24.01.23,7.02.23,21.02.23,7.03.23,21.03.23,4.04.23,18.04.23,2.05.23,16.05.23,30.05.23,13.06.23,27.06.23
Onslow,Wellington,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Opunake,Palmerston,8 Weekly,FALSE,FALSE,TRUE,FALSE,FALSE,24.08.22,19.10.22,14.12.22,8.02.23,5.04.23,31.05.23,26.07.23,20.09.23,15.11.23,10.01.24,6.03.24,1.05.24,26.06.24,21.08.24,16.10.24,11.12.24,5.02.25,2.04.25,28.05.25,23.07.25,17.09.25,12.11.25,7.01.26
Orewa,Auckland,Weekly,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Otahuhu,Auckland,Weekly,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,
Otaki,Wellington,Weekly,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,
Otara,Auckland,Weekly,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,
Pahiatua,Waikato/Hamilton,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Palmerston North,Palmerston,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Palmerston North Hospital,Palmerston,Weekly,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Panmure,Auckland,Weekly,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,
Papakura,Auckland,Weekly,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Papatoetoe,Auckland,Weekly,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,
Paraparaumu,Wellington,Weekly,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,
Paremata,Wellington,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Patea,Palmerston,Fortnightly,FALSE,FALSE,TRUE,FALSE,FALSE,24.08.22,19.10.22,14.12.22,8.02.23,5.04.23,31.05.23,26.07.23,20.09.23,15.11.23,10.01.24,6.03.24,1.05.24,26.06.24,21.08.24,16.10.24,11.12.24,5.02.25,2.04.25,28.05.25,23.07.25,17.09.25,12.11.25,7.01.26
Petone,Wellington,Weekly,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Pokeno,Auckland,Weekly,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Pomare,Wellington,Weekly,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Porirua,Wellington,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Pukekohe,Auckland,Weekly,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Putaruru,Waikato/Hamilton,Fortnightly ,FALSE,TRUE,FALSE,FALSE,FALSE,16.08.22,30.08.22,13.09.22,27.09.22,11.10.22,25.10.22,8.11.22,22.11.22,6.12.22,20.12.22,3.01.23,17.01.23,31.01.23,14.02.23,28.02.23,14.03.23,28.03.23,11.04.23,25.04.23,9.05.23,23.05.23,6.06.23,20.06.23
Queenwood,Waikato/Hamilton,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Remuera,Auckland,Weekly,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,
Rotorua,Waikato/Hamilton,Weekly,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Rototuna,Waikato/Hamilton,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
